   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.72024,             0.70987,             0.76454,             0.64218,            0.018512,            0.056167,             0.01167,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
              0.7367,             0.68499,             0.74416,             0.61705,            0.018339,             0.05138,            0.012524,             0.01021,                0.01,               0.903,             0.00052,              3.6181,             0.85359,             0.11935,             0.04844,                 0.5,              1.0286,             0.94878,                   1,                 0.2,              4.1249,                   0,             0.01613,             0.55423,             0.37983,                   0,             0.06672,             0.58917,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9401
             0.73577,             0.73937,             0.77775,             0.63753,             0.01564,            0.049608,            0.012861,                0.01,                0.01,                0.98,              0.0005,                   3,                 0.8,             0.09732,               0.041,             0.65476,             0.88228,              1.0718,             0.90636,                 0.2,              3.7979,                   0,             0.01819,             0.55844,             0.40467,                   0,             0.14313,             0.62416,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3721
             0.75705,              0.6693,             0.72913,             0.59888,            0.017981,            0.064393,            0.010853,             0.00788,                0.01,               0.937,             0.00057,              2.6963,             0.89411,             0.09871,             0.04506,              0.4668,             0.87355,                   1,               1.113,                 0.2,              4.1648,                   0,             0.01085,             0.69998,              0.4294,                   0,             0.07563,             0.37936,                   0,                   0,                   0,                 0.5,             0.83594,                   0,                   0,              2.5058
             0.77651,             0.67811,             0.76115,              0.6242,            0.018482,            0.041213,            0.010868,             0.01021,                0.01,             0.88235,             0.00052,              3.6876,             0.74151,              0.1131,             0.04844,                 0.5,              0.9285,             0.91939,             0.81483,                 0.2,              3.9601,                   0,             0.01738,             0.52009,             0.37983,                   0,             0.06323,             0.57438,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9401
             0.68084,               0.713,             0.73799,             0.61134,            0.018362,             0.04772,            0.011485,             0.01233,                0.01,               0.903,             0.00056,              3.3197,             0.78551,             0.13494,             0.04844,              0.4848,             0.92259,             0.82808,                   1,                 0.2,              4.7744,                   0,             0.01938,             0.62231,             0.44858,                   0,             0.05873,              0.5884,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0751
             0.79003,             0.67117,             0.75578,             0.62743,            0.016815,            0.035214,           0.0093595,             0.01021,             0.01007,             0.88235,             0.00047,              2.7798,             0.75789,             0.13649,             0.04844,             0.45809,              0.8392,              1.0325,             0.80355,                 0.2,              2.9163,                   0,             0.01562,             0.52009,             0.37983,                   0,             0.06443,             0.72622,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9401
             0.77103,             0.65987,             0.74365,             0.61452,            0.016549,             0.03912,            0.010485,              0.0101,                0.01,             0.87526,             0.00052,              3.5377,             0.70657,             0.11751,             0.04464,                 0.5,              0.9285,             0.90539,             0.81407,                 0.2,              3.9601,                   0,             0.01794,             0.52009,             0.38886,                   0,             0.06204,             0.57916,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9401
             0.70654,             0.70834,             0.74738,             0.61224,            0.015924,            0.038675,             0.01377,             0.01013,             0.01128,             0.88235,             0.00052,              3.8231,             0.74151,             0.08821,             0.04109,             0.57994,              0.9285,             0.88182,              0.7897,                 0.2,              3.7786,                   0,             0.01359,              0.5055,             0.37129,                   0,             0.06998,             0.52791,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4534
             0.74353,               0.703,             0.76093,             0.62705,            0.018624,            0.041861,            0.010452,              0.0104,             0.01006,              0.8835,             0.00052,               3.627,             0.78337,             0.11245,              0.0503,             0.50468,             0.94233,             0.95354,             0.82548,                 0.2,              3.9601,                   0,             0.01738,             0.52038,             0.39311,                   0,             0.06365,             0.57127,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9401
